Country,Capital city,Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date,Capital_city_pop
Rwanda,Kigali,1263.9,Rwanda Franc (RWF),588.9,14257.0,Eastern Africa,95.2,26338.0,1962-09-18,1094.8
Réunion,Saint-Denis,0.9,Euro (EUR),351.4,879.0,Eastern Africa,90.5,2510.0,,147.2
Saint Helena,Jamestown,0.8,Saint Helena Pound (SHP),13.4,5.0,Western Africa,99.2,309.0,,0.6
Saint Kitts and Nevis,Basseterre,2.7,E. Caribbean Dollar (XCD)c,180.2,47.0,Caribbean,91.8,261.0,1983-09-23,14.4
Saint Lucia,Castries,2.7,E. Caribbean Dollar (XCD)c,291.8,180.0,Caribbean,97.5,616.0,1979-09-18,22.3
Saint Pierre and Miquelon,Saint-Pierre,0.9,Euro (EUR),24.5,6.0,Northern America,97.6,242.0,,5.7
Saint Vincent and the Grenadines,Kingstown,2.7,E. Caribbean Dollar (XCD)c,258.0,101.0,Caribbean,103.8,389.0,1980-09-16,26.6
Samoa,Apia,2.7,Tala (WST),77.0,218.0,Polynesia,101.4,2842.0,1976-12-15,36.1
San Marino,San Marino,0.9,Euro (EUR),550.5,34.0,Southern Europe,96.7,61.0,1992-03-02,4.5
Sao Tome and Principe,Sao Tome,23.0,Dobra (STN),245.4,236.0,Middle Africa,98.8,964.0,1975-09-16,80.1
Saudi Arabia,Riyadh,3.8,Saudi Riyal (SAR),15.8,33963.0,Western Asia,153.4,2206714.0,1945-10-24,7070.7
Senegal,Dakar,593.6,"CFA Franc, BCEAO (XOF)c",96.1,18502.0,Western Africa,103.4,196712.0,1960-09-28,3057.1
Serbia,Belgrade,105.9,Serbian Dinar (RSD),87.8,6736.0,Southern Europe,90.3,88444.0,2000-11-01,1393.7
Seychelles,Victoria,14.1,Seychelles Rupee (SCR),285.4,130.0,Eastern Africa,123.0,457.0,1976-09-21,28.1
Sierra Leone,Freetown,22.8,Leone (SLE),120.5,8642.0,Western Africa,99.5,72300.0,1961-09-27,1168.4
Singapore,Singapore,1.3,Singapore Dollar (SGD),8539.4,5832.0,South-eastern Asia,106.9,728.0,1965-09-21,5868.1
Sint Maarten (Dutch part),Philipsburg,1.8,Neth. Ant. Guilder (ANG)c,1275.0,43.0,Caribbean,94.8,34.0,,40.6
Slovakia,Bratislava,0.9,Euro (EUR),112.3,5507.0,Eastern Europe,95.4,49035.0,1993-01-19,432.5
Slovenia,Ljubljana,0.9,Euro (EUR),105.2,2119.0,Southern Europe,101.0,20273.0,1992-05-22,286.5
Solomon Islands,Honiara,8.5,Solomon Is. Dollar (SBD)c,28.4,819.0,Melanesia,104.6,28896.0,1978-09-19,81.8
Somalia,Mogadishu,24300.0,Somali Shilling (SOS),30.3,19009.0,Eastern Africa,100.4,637657.0,1960-09-20,2179.9
South Africa,Pretoriac,18.5,Rand (ZAR),52.4,64007.0,Southern Africa,94.8,1221037.0,1945-11-07,2472.6
South Sudan,Juba,668.7,S. Sudanese Pound (SSP)b,21.2,11943.0,Eastern Africa,96.8,,2011-07-14,385.8
Spain,Madrid,0.9,Euro (EUR),95.4,47910.0,Southern Europe,96.4,506008.0,1955-12-14,6559.0
Sri Lanka,Colomboc,200.4,Sri Lanka Rupee (LKR),368.4,23104.0,Southern Asia,93.7,65610.0,1955-12-14,606.2
State of Palestine,East Jerusalemd,,,912.9,5495.0,Western Asia,98.6,6025.0,,275.1
Sudan,Khartoum,578.2,Sudanese Pound (SDG),28.6,50449.0,Northern Africa,98.3,,1956-11-12,5677.9
Suriname,Paramaribo,36.7,Surinam Dollar (SRD),4.1,634.0,South America,99.8,163820.0,1975-12-04,239.5
Sweden,Stockholm,10.0,Swedish Krona (SEK),26.0,10607.0,Northern Europe,101.5,438574.0,1946-11-19,1608.0
Switzerland,Bern,0.8,Swiss Franc (CHF),223.1,8922.0,Western Europe,98.7,41291.0,2002-09-10,426.0
Syrian Arab Republic,Damascus,12500.0,Syrian Pound (SYP),134.3,24673.0,Western Asia,100.1,185180.0,1945-10-24,2353.6
Tajikistan,Dushanbe,11.0,Somoni (TJS),74.0,10591.0,Central Asia,96.6,141400.0,1992-03-02,893.8
Thailand,Bangkok,34.2,Baht (THB),140.3,71668.0,South-eastern Asia,94.9,513140.0,1946-12-16,10350.2
Timor-Leste,Dili,1.0,US Dollar (USD),94.2,1401.0,South-eastern Asia,101.7,14919.0,2002-09-27,281.1
Togo,Lomé,593.6,"CFA Franc, BCEAO (XOF)c",174.9,9515.0,Western Africa,101.3,56785.0,1960-09-20,1785.3
Tokelau,Tokelaud,1.6,New Zealand Dollar (NZD),208.9,2.0,Polynesia,95.8,12.0,,
Tonga,Nuku'alofa,2.3,Pa'anga (TOP),160.3,104.0,Polynesia,89.5,747.0,1999-09-14,22.9
Trinidad and Tobago,Port of Spain,6.8,TT Dollar (TTD)c,293.9,1508.0,Caribbean,97.8,5127.0,1962-09-18,544.3
Tunisia,Tunis,3.1,Tunisian Dinar (TND),79.0,12277.0,Northern Africa,97.7,163610.0,1956-11-12,2327.8
Turkmenistan,Ashgabat,3.5,Turkmen. Manat (TMT)c,15.9,7494.0,Central Asia,96.4,488100.0,1992-03-02,828.1
Turks and Caicos Islands,Cockburn Town,1.0,US Dollar (USD),49.0,46.0,Caribbean,100.2,948.0,,0.1
Tuvalu,Funafuti,1.5,Australian Dollar (AUD),321.5,10.0,Polynesia,104.8,26.0,2000-09-05,7.0
Türkiye,Ankara,29.5,Turkish Lira (TRY),113.7,87474.0,Western Asia,99.7,783562.0,1945-10-24,5018.0
Uganda,Kampala,3782.2,Uganda Shilling (UGX),250.3,50015.0,Eastern Africa,98.4,241550.0,1962-10-25,3137.7
Ukraine,Kyiv,38.0,Hryvnia (UAH),65.4,37860.0,Eastern Europe,86.9,603500.0,1945-10-24,2973.3
United Arab Emirates,Abu Dhabi,3.7,UAE Dirham (AED)d,155.3,11027.0,Western Asia,177.0,71024.0,1971-12-09,1452.1
United Kingdom,London,0.8,Pound Sterling (GBP),284.8,69138.0,Northern Europe,97.0,242495.0,1945-10-24,9176.5
United Republic of Tanzania,Dodoma,2297.6,Tanzanian Shilling (TZS),77.4,68560.0,Eastern Africa,98.3,947303.0,1961-12-14,261.6
United States Virgin Islands,Charlotte Amalie,1.0,US Dollar (USD),242.6,85.0,Caribbean,90.9,347.0,,52.3
United States of America,"Washington, D.C.",1.0,US Dollar (USD),37.8,345427.0,Northern America,101.0,9833517.0,1945-10-24,5264.5
Uruguay,Montevideo,39.0,Peso Uruguayo (UYU),19.6,3387.0,South America,94.2,173626.0,1945-12-18,1744.7
Uzbekistan,Tashkent,12340.0,Uzbekistan Sum (UZS),85.5,36362.0,Central Asia,101.8,448969.0,1992-03-02,2490.3
Vanuatu,Port Vila,116.5,Vatu (VUV),26.9,328.0,Melanesia,101.9,12189.0,1981-09-15,52.7
Venezuela (Bolivarian Republic of),Caracas,10.0,Bolívar (VED),31.0,28406.0,South America,97.6,929690.0,1945-11-15,2935.5
Viet Nam,Hanoi,23866.0,Dong (VND),322.2,100988.0,South-eastern Asia,96.0,331317.0,1977-09-20,4479.6
Wallis and Futuna Islands,Matu-Utu,108.0,CFP Franc (XPF)d,80.6,11.0,Polynesia,90.7,142.0,,1.0
Western Sahara,El Aaiún,9.9,Moroccan Dirham (MAD),2.2,590.0,Northern Africa,122.8,266000.0,,232.4
Yemen,Sana'a,1242.0,Yemeni Rial (YER),76.9,40583.0,Western Asia,102.7,527968.0,1947-09-30,2874.4
Zambia,Lusaka,25.7,Zambian Kwacha (ZMW),28.7,21315.0,Eastern Africa,98.0,752612.0,1964-12-01,2646.6
Zimbabwe,Harare,80.8,Zimbabwe Dollar (ZWL),43.0,16634.0,Eastern Africa,91.1,390757.0,1980-08-25,1521.3
