Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Gibraltar,2020,0,318,0,0,94.4,,,,36,,0.6,19.7,3.045685279,100,,,,,
Gibraltar,2024,0,323,0,0,,,,,62,,0.7,19.9,3.51758794,100,,,,,
Greece,2015,357,90,30.3,87.3,66.8,0.04,,1,291,23599,61.6,5.7,1080.701754,,,,93.7,,
Greece,2020,191,78,30.3,87.3,78.1,0.24,,1.5,520,7374,44.8,4.3,1041.860465,,,,96.7,,
Greece,2024,199,81,30.3,87.3,83.2,0.13,,1.5,590,27836,46.4,4.4,1054.545455,,,,97.4,,
Greenland,2015,2,156,0,29.7,67.6,,,,17,,0.5,9.2,5.434782609,,,,,,
Greenland,2020,2,166,0,29.7,69.5,,,,27,,0.6,10,6,,,,,,
Greenland,2024,2,169,0,29.7,,,,,29,,0.6,10.1,5.940594059,,,,,,
Grenada,2015,0,34,52.1,34.5,52.5,,2.74,,51,155,0.3,2.3,13.04347826,,,,,,
Grenada,2020,0,36,52.1,34.5,73.3,,6.97,,60,54,0.3,2.4,12.5,,,,,,
Grenada,2024,0,38,52.1,34.5,79.9,,6.37,,94,149,0.3,2.6,11.53846154,,,,,,
Guadeloupe,2015,2,81,44.6,82,,,,,70,512,2.2,5.6,39.28571429,,,,,,
Guadeloupe,2020,,,44.4,82,,,,,83,735,,,,,,,,,
Guadeloupe,2024,,,44.4,82,,,,,122,,,,,,,,,,
Guam,2015,0,1,46.3,2.4,73.1,,,,95,1409,,,,,,,,,
Guam,2020,0,2,51.9,2.4,80.5,,,,107,328,,,,,,,,,
Guam,2024,0,2,51.9,2.4,,,,,112,328,,,,,,,,,
Guatemala,2015,311,30,33.5,32.5,28.8,,0.68,0,282,1473,14.8,0.9,1644.444444,64.5,43.9,146.9248292,,,
Guatemala,2020,457,37,32.9,33.7,47.5,,0.62,0,352,396,16.1,0.9,1788.888889,65.4,45.4,144.0528634,,,
Guatemala,2024,495,41,32.8,33.7,54.4,,0.61,0.1,775,1494,18.8,1.1,1709.090909,65.5,46,142.3913043,,,
Guinea,2015,116,13,26,71.7,9.2,,6.24,,163,35,2.5,0.2,1250,,,,,,
Guinea,2020,119,14,25.2,71.7,29.4,,5.65,,365,99,4.6,0.3,1533.333333,,,,,,
Guinea,2024,124,14,25,71.7,33.9,,4.23,,429,,4.2,0.3,1400,,,,,,
Guinea-Bissau,2015,25,17,71.9,59.5,6.1,,8.86,,66,44,0.3,0.2,150,38.1,10.6,359.4339623,16.1,6.9,233.3333333
Guinea-Bissau,2020,27,16,70.4,59.5,28.2,,10.13,,92,52,0.3,0.2,150,36.6,13.2,277.2727273,20.4,10,204
Guinea-Bissau,2024,27,16,70.1,59.5,31.6,,10.31,,127,,0.3,0.2,150,36.3,13.7,264.9635036,21.3,10.7,199.0654206
Guyana,2015,7,46,93.8,100,34,,0.75,,87,207,2,2.7,74.07407407,,,,37,51.9,71.29094412
Guyana,2020,162,52,93.6,100,73.1,,0.98,,122,86,2.7,3.4,79.41176471,,,,35,49.1,71.28309572
Guyana,2024,248,61,93.5,100,85.3,,1.95,,297,288,3.3,4.1,80.48780488,,,,34.1,48,71.04166667
Haiti,2015,139,17,13.2,26.8,14.2,,7.03,,169,516,2.7,0.3,900,,,,,,
Haiti,2020,142,17,12.6,29.4,39.3,,6.11,,269,203,3.2,0.3,1066.666667,,,,,,
Haiti,2024,144,17,12.5,31.7,,,4.54,,499,148,3.4,0.3,1133.333333,,,,,,
Holy See,2015,,,0,,,,,,1,,,,,,,,,,
Holy See,2020,,,0,,78,,,,1,,,,,,,,,,
Holy See,2024,,,0,,85.1,,,,2,,,,,,,,,,
Honduras,2015,103,26,57.8,74.6,27.1,,2.77,0,294,880,9.8,1.1,890.9090909,77.5,43.3,178.9838337,39.9,63.6,62.73584906
Honduras,2020,101,22,56.8,74.6,45.2,,5.34,0.1,342,204,9,0.9,1000,78.2,45,173.7777778,40.4,68.4,59.06432749
Honduras,2024,104,23,56.6,74.6,59.7,,2.36,,496,844,9.6,0.9,1066.666667,78.4,45.7,171.5536105,40.5,70.5,57.44680851
Hungary,2015,471,107,22.6,84.3,72.8,0.13,,1.3,67,14316,41.9,4.3,974.4186047,93.3,87.7,106.3854048,86,75.5,113.9072848
Hungary,2020,449,113,22.5,84.3,84.8,2.25,,1.6,123,7417,42.9,4.4,975,99.2,99,100.2020202,90.5,80.7,112.1437423
Hungary,2024,452,118,22.5,84.3,89.1,0.87,,1.6,127,12649,44.2,4.5,982.2222222,100,100,100,90.5,80.7,112.1437423
