Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
34.0,51.6,21.2,4.9,30.5,30.4,41.8,43.9,2.9,14.4,0.0
7.5,67.1,3.5,1.3,78.4,88.3,14.2,74.6,0.0,25.3,2.0
5.3,71.3,3.6,1.4,75.0,83.1,15.8,77.5,0.2,23.4,2.0
14.0,62.0,3.3,2.1,71.4,73.4,16.2,64.0,1.0,24.0,2.0
13.2,62.7,4.0,2.0,79.9,86.5,13.8,63.0,0.7,24.1,2.0
12.6,62.3,4.1,1.9,73.2,83.8,12.5,60.8,0.8,25.0,2.0
28.5,51.3,15.3,3.0,84.0,90.4,19.4,50.3,2.2,20.3,1.0
25.1,54.5,14.3,2.9,93.4,101.9,15.0,44.7,1.6,20.4,1.0
26.3,51.6,14.6,2.6,99.0,107.0,11.3,45.9,1.2,22.1,1.0
7.7,74.8,9.7,1.8,88.4,86.1,3.9,72.9,0.6,17.5,1.0
7.5,74.1,9.1,1.8,87.8,87.4,4.2,70.0,0.6,18.4,2.0
7.2,74.3,7.5,1.8,84.0,86.4,3.4,76.4,0.3,18.5,2.0
36.2,41.4,13.2,2.4,58.0,52.7,23.3,58.2,1.1,22.4,1.0
32.1,44.4,11.9,2.3,61.7,63.1,18.6,59.2,1.0,23.5,1.0
30.8,45.3,11.4,2.2,63.7,69.1,16.3,60.3,0.9,24.0,1.0
72.1,20.1,26.5,5.2,23.9,21.9,83.9,52.5,2.9,7.7,0.0
70.8,20.4,30.2,5.0,32.2,32.2,70.5,45.4,3.0,8.8,0.0
70.1,20.8,29.7,4.7,28.1,27.4,63.0,45.0,2.9,9.1,0.0
51.7,31.5,26.8,2.3,34.5,40.3,51.6,38.8,0.8,16.8,0.0
46.5,35.0,21.8,2.2,53.5,66.4,43.0,40.4,0.7,18.6,0.0
64.9,19.5,29.4,2.3,50.0,51.2,40.3,56.0,0.7,15.6,0.0
62.2,20.7,25.2,2.1,69.7,74.3,30.3,61.2,1.8,17.1,0.0
61.4,21.2,24.7,2.0,77.0,79.4,24.8,61.2,0.2,17.5,0.0
2.3,81.2,1.9,1.7,129.4,138.0,3.8,77.9,0.5,16.4,3.0
2.1,82.0,1.8,1.5,129.8,138.6,4.3,78.2,0.4,16.0,3.0
1.9,84.1,1.7,1.4,131.3,140.3,3.6,76.6,0.7,14.0,3.0
6.1,71.9,4.9,2.0,123.9,138.8,5.1,72.0,2.1,22.0,3.0
6.0,73.6,6.2,1.6,129.0,144.9,4.4,72.3,1.3,20.4,3.0
6.0,73.2,6.2,1.7,132.1,146.8,4.7,72.3,0.8,20.8,3.0
30.9,51.3,17.8,2.4,47.8,58.7,19.4,53.7,1.4,17.8,0.0
73.1,19.8,34.7,7.2,11.5,9.0,127.4,41.2,3.7,7.1,0.0
71.4,21.3,40.5,6.4,14.2,9.5,120.7,38.1,3.3,7.3,0.0
38.0,49.6,20.9,5.5,45.4,40.8,126.2,58.8,2.5,12.5,1.0
38.8,47.0,24.4,4.7,42.2,42.0,113.7,47.0,2.1,14.2,0.0
38.0,47.5,24.1,4.4,43.2,43.0,102.8,44.7,2.1,14.6,0.0
17.7,51.7,11.1,1.8,74.3,74.5,9.6,61.5,0.9,30.6,1.0
11.6,57.4,9.8,1.6,68.5,67.5,6.4,64.4,1.5,31.0,1.0
