Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
13.2,62.7,4.0,2.0,79.9,86.5,2.4,13.8,80.4,63.0,0.7,24.1,2.0
28.5,51.3,15.3,3.0,84.0,90.4,3.3,19.4,68.2,50.3,2.2,20.3,1.0
25.1,54.5,14.3,2.9,93.4,101.9,3.8,15.0,68.5,44.7,1.6,20.4,1.0
7.7,74.8,9.7,1.8,88.4,86.1,2.4,3.9,65.8,72.9,0.6,17.5,1.0
7.5,74.1,9.1,1.8,87.8,87.4,2.7,4.2,67.2,70.0,0.6,18.4,2.0
36.2,41.4,13.2,2.4,58.0,52.7,0.9,23.3,60.8,58.2,1.1,22.4,1.0
32.1,44.4,11.9,2.3,61.7,63.1,0.7,18.6,63.0,59.2,1.0,23.5,1.0
72.1,20.1,26.5,5.2,23.9,21.9,0.1,83.9,34.4,52.5,2.9,7.7,0.0
70.8,20.4,30.2,5.0,32.2,32.2,0.1,70.5,36.5,45.4,3.0,8.8,0.0
51.7,31.5,26.8,2.3,34.5,40.3,0.6,51.6,29.9,38.8,0.8,16.8,0.0
46.5,35.0,21.8,2.2,53.5,66.4,0.8,43.0,30.9,40.4,0.7,18.6,0.0
64.9,19.5,29.4,2.3,50.0,51.2,0.6,40.3,18.6,56.0,0.7,15.6,0.0
62.2,20.7,25.2,2.1,69.7,74.3,0.8,30.3,20.2,61.2,1.8,17.1,0.0
2.3,81.2,1.9,1.7,129.4,138.0,3.5,3.8,90.2,77.9,0.5,16.4,3.0
2.1,82.0,1.8,1.5,129.8,138.6,3.8,4.3,91.9,78.2,0.4,16.0,3.0
6.1,71.9,4.9,2.0,123.9,138.8,3.0,5.1,86.3,72.0,2.1,22.0,3.0
6.0,73.6,6.2,1.6,129.0,144.9,3.4,4.4,86.6,72.3,1.3,20.4,3.0
30.9,51.3,17.8,2.4,47.8,58.7,0.9,19.4,57.9,53.7,1.4,17.8,0.0
73.1,19.8,34.7,7.2,11.5,9.0,0.0,127.4,16.2,41.2,3.7,7.1,0.0
71.4,21.3,40.5,6.4,14.2,9.5,0.0,120.7,16.5,38.1,3.3,7.3,0.0
38.0,49.6,20.9,5.5,45.4,40.8,0.4,126.2,47.8,58.8,2.5,12.5,1.0
38.8,47.0,24.4,4.7,42.2,42.0,0.4,113.7,51.2,47.0,2.1,14.2,0.0
17.7,51.7,11.1,1.8,74.3,74.5,2.8,9.6,57.4,61.5,0.9,30.6,1.0
11.6,57.4,9.8,1.6,68.5,67.5,3.0,6.4,58.2,64.4,1.5,31.0,1.0
2.0,77.9,1.7,1.7,130.7,123.0,4.5,2.9,81.1,62.9,0.9,20.1,3.0
2.1,78.4,2.1,1.5,141.3,128.6,5.1,2.1,82.6,67.5,0.4,19.5,3.0
5.3,57.4,1.6,3.0,98.9,98.1,2.1,11.2,81.4,47.8,5.1,37.3,2.0
5.2,48.0,2.4,2.6,92.7,90.7,2.0,10.7,85.4,52.6,2.2,46.8,2.0
41.0,35.0,24.5,4.0,32.6,24.4,0.9,76.2,36.0,55.5,1.4,24.0,0.0
38.0,37.2,23.2,3.8,35.6,29.7,1.1,65.2,36.9,57.0,1.9,24.8,0.0
14.7,66.6,3.0,2.5,56.3,64.2,1.6,17.1,66.7,69.2,1.7,18.7,2.0
14.1,67.5,3.0,2.2,55.0,62.9,1.6,12.8,68.1,73.1,1.2,18.5,2.0
21.7,68.9,18.3,3.6,23.4,16.8,0.0,51.5,13.0,45.3,2.5,9.4,1.0
19.3,69.7,19.6,3.3,21.4,15.0,0.1,44.2,13.2,45.9,2.0,11.0,1.0
21.8,58.6,10.2,2.6,63.9,69.9,1.4,22.1,60.8,52.5,1.5,19.5,1.0
21.3,59.6,11.5,2.5,77.2,87.2,1.1,18.7,61.9,51.7,1.4,19.1,1.0
27.0,55.6,7.7,2.2,95.1,91.6,1.1,17.3,77.4,59.1,1.2,17.4,1.0
33.7,50.5,8.3,2.1,96.8,97.4,1.4,15.7,78.1,58.9,1.1,15.9,1.0
29.2,54.6,11.0,2.8,73.6,82.1,0.6,28.4,46.3,58.5,1.4,16.2,1.0
24.8,56.9,10.2,2.1,70.2,81.0,0.8,28.1,47.1,61.4,1.1,18.3,1.0
11.5,57.9,2.8,1.3,119.8,115.8,2.3,4.8,60.3,62.1,0.0,30.5,2.0
9.6,58.7,2.9,1.4,114.7,113.6,3.3,4.1,60.0,64.9,0.3,31.7,2.0
7.5,68.1,2.4,1.3,117.0,117.8,4.8,3.6,63.5,75.2,0.2,24.3,2.0
5.4,69.9,2.5,1.4,121.1,124.7,5.6,3.0,65.8,75.3,0.2,24.8,3.0
1.2,44.6,0.2,2.0,102.1,106.2,4.0,7.6,98.9,44.4,8.3,54.1,3.0
1.4,54.3,0.3,1.7,113.0,109.6,2.5,5.9,99.2,50.0,0.9,44.3,3.0
5.2,69.4,2.2,1.2,96.4,96.2,2.2,3.5,81.6,60.6,0.8,25.4,3.0
5.4,70.0,1.9,0.8,97.6,96.1,2.5,3.0,81.4,62.4,0.1,24.6,3.0
59.6,29.9,14.7,1.9,101.2,105.6,3.1,15.7,42.5,61.1,1.6,10.5,1.0
57.8,30.8,10.8,1.8,78.4,80.6,4.1,14.5,42.7,62.5,1.4,11.4,1.0
25.6,46.0,5.0,1.6,94.0,85.9,2.8,9.2,53.9,59.9,0.5,28.5,2.0
20.5,49.8,4.6,1.7,92.3,84.0,3.3,6.7,54.1,66.1,0.6,29.7,2.0
6.7,66.1,4.3,1.8,112.8,102.0,3.9,8.1,74.0,62.5,0.3,27.2,2.0
6.0,67.5,4.4,1.5,47.0,54.4,3.8,5.7,74.6,62.6,0.2,26.5,2.0
63.6,26.9,26.3,4.1,32.5,32.0,0.1,47.5,17.0,54.5,2.4,9.5,0.0
50.1,32.6,29.0,3.9,29.7,31.0,0.1,40.7,17.3,50.7,2.2,17.2,0.0
11.0,72.1,2.5,1.5,85.5,89.2,1.9,17.8,18.5,85.0,0.4,16.9,2.0
7.6,79.4,2.5,1.4,89.7,87.6,0.7,17.5,18.8,82.8,0.3,13.0,2.0
11.2,69.1,7.3,2.1,89.5,104.6,0.9,18.1,51.0,75.3,0.5,19.7,2.0
